frequency	# of variants
0.0002	735.522415045
0.00021	0.000280386084558
0.0002205	0.000221924559269
0.000231525	0.000165852919009
0.00024310125	0.000124178476334
0.0002552563125	9.38044431626e-05
0.000268019128125	7.17191766981e-05
0.000281420084531	5.55916617883e-05
0.000295491088758	4.37162819213e-05
0.000310265643196	3.48756036448e-05
0.000325778925355	2.8210234451e-05
0.000342067871623	2.3115684366e-05
0.000359171265204	1.91663161495e-05
0.000377129828465	1.60611856375e-05
0.000395986319888	1.35861463593e-05
0.000415785635882	1.15875659664e-05
0.000436574917676	9.95416209267e-06
0.00045840366356	8.60445460134e-06
0.000481323846738	7.47808227886e-06
0.000505390039075	6.52977303109e-06
0.000530659541029	5.72513676376e-06
0.00055719251808	5.03771238528e-06
0.000585052143984	4.44688041285e-06
0.000614304751184	3.93637563324e-06
0.000645019988743	3.49321760037e-06
0.00067727098818	3.10693415481e-06
0.000711134537589	2.76899163885e-06
0.000746691264468	2.47237220197e-06
0.000784025827692	2.21125663677e-06
0.000823227119076	1.9807836243e-06
0.00086438847503	1.77686492732e-06
0.000907607898782	1.59604190665e-06
0.000952988293721	1.43537292088e-06
0.00100063770841	1.29234406709e-06
0.00105066959383	1.16479772621e-06
0.00110320307352	1.05087486055e-06
0.00115836322719	9.48968020908e-07
0.00121628138855	8.57682790394e-07
0.00127709545798	7.758059355e-07
0.00134095023088	7.0227893046e-07
0.00140799774242	6.36175825984e-07
0.00147839762955	5.76684659293e-07
0.00155231751102	5.23091767961e-07
0.00162993338657	4.74768501442e-07
0.0017114300559	4.31159924601e-07
0.0017970015587	3.91775182804e-07
0.00188685163663	3.56179262495e-07
0.00198119421847	3.23985924317e-07
0.00208025392939	2.94851628529e-07
0.00218426662586	2.68470300407e-07
0.00229347995715	2.44568809645e-07
0.00240815395501	2.2290305771e-07
0.00252856165276	2.03254583335e-07
0.0026549897354	1.85427612208e-07
0.00278773922217	1.69246485443e-07
0.00292712618327	1.54553414394e-07
0.00307348249244	1.41206515144e-07
0.00322715661706	1.29078083851e-07
0.00338851444791	1.18053080367e-07
0.00355794017031	1.08027791315e-07
0.00373583717882	9.89086491019e-08
0.00392262903777	9.06111862116e-08
0.00411876048965	8.30591073333e-08
0.00432469851414	7.61834643226e-08
0.00454093343984	6.99219213031e-08
0.00476798011184	6.42180988347e-08
0.00500637911743	5.90209877156e-08
