frequency	# of variants
0.0002	3486.11430548
0.00021	3.02911022232e-05
0.0002205	2.48191464501e-05
0.000231525	1.10438082059e-05
0.00024310125	5.96163045137e-06
0.0002552563125	3.9452595008e-06
0.000268019128125	3.03912795834e-06
0.000281420084531	2.55242526032e-06
0.000295491088758	2.23059608743e-06
0.000310265643196	1.97856853152e-06
0.000325778925355	1.76140114509e-06
0.000342067871623	1.56681100267e-06
0.000359171265204	1.39071405718e-06
0.000377129828465	1.23167696351e-06
0.000395986319888	1.08888343766e-06
0.000415785635882	9.6147785951e-07
0.000436574917676	8.48426287472e-07
0.00045840366356	7.48550812455e-07
0.000481323846738	6.60604356868e-07
0.000505390039075	5.83339243077e-07
0.000530659541029	5.15557029225e-07
0.00055719251808	4.56139682286e-07
0.000585052143984	4.04065956221e-07
0.000614304751184	3.58417269205e-07
0.000645019988743	3.1837669444e-07
0.00067727098818	2.83223774832e-07
0.000711134537589	2.52327059435e-07
0.000746691264468	2.25135629226e-07
0.000784025827692	2.01170419895e-07
0.000823227119076	1.80015828718e-07
0.00086438847503	1.61311879097e-07
0.000907607898782	1.44747076407e-07
0.000952988293721	1.30052000367e-07
0.00100063770841	1.1699362599e-07
0.00105066959383	1.05370334611e-07
0.00110320307352	9.50075604093e-08
0.00115836322719	8.57540112611e-08
0.00121628138855	7.74784018283e-08
0.00127709545798	7.0066638605e-08
0.00134095023088	6.34194011772e-08
0.00140799774242	5.74500683022e-08
0.00147839762955	5.20829428908e-08
0.00155231751102	4.72517348038e-08
0.00162993338657	4.28982653547e-08
0.0017114300559	3.89713617228e-08
0.0017970015587	3.54259137036e-08
0.00188685163663	3.2222068748e-08
0.00198119421847	2.93245446281e-08
0.00208025392939	2.67020419191e-08
0.00218426662586	2.43267410636e-08
0.00229347995715	2.21738710281e-08
0.00240815395501	2.02213385107e-08
0.00252856165276	1.84494083688e-08
0.0026549897354	1.68404273689e-08
0.00278773922217	1.53785846428e-08
0.00292712618327	1.40497032758e-08
0.00307348249244	1.28410583716e-08
0.00322715661706	1.17412176996e-08
0.00338851444791	1.07399016666e-08
0.00355794017031	9.8278598922e-09
0.00373583717882	8.99676211575e-09
0.00392262903777	8.2391015235e-09
0.00411876048965	7.54810889406e-09
0.00432469851414	6.91767620787e-09
0.00454093343984	6.34228857384e-09
0.00476798011184	5.81696349115e-09
0.00500637911743	5.33719660902e-09
0.0052566980733	4.89891325505e-09
0.00551953297696	4.49842510249e-09
0.00579550962581	4.1323914225e-09
0.0060852851071	3.79778443407e-09
0.00638954936246	3.49185832152e-09
0.00670902683058	3.21212153407e-09
0.00704447817211	2.95631202599e-09
0.00739670208072	2.72237513024e-09
0.00776653718475	2.50844379014e-09
0.00815486404399	2.31282090267e-09
0.00856260724619	2.1339635527e-09
0.0089907376085	1.97046893975e-09
0.00944027448892	1.82106182217e-09
0.00991228821337	1.68458332271e-09
0.010407902624	1.55998095865e-09
0.0109282977552	1.44629977787e-09
0.011474712643	1.34267449906e-09
0.0120484482752	1.24832257109e-09
0.0126508706889	1.16253808316e-09
0.0132834142234	1.08468647315e-09
0.0139475849345	1.01419999926e-09
0.0146449641812	9.5057395771e-10
0.0153772123903	8.93363648659e-10
0.0161460730098	8.42182115988e-10
0.0169533766603	7.96698712212e-10
0.0178010454933	7.56638573014e-10
0.018691097768	7.21783126828e-10
0.0196256526564	6.91971817453e-10
0.0206069352892	6.67105288127e-10
0.0216372820537	6.47150369053e-10
0.0227191461564	6.32147339838e-10
0.0238551034642	6.2222011876e-10
0.0250478586374	6.17590289172e-10
0.0263002515693	6.18596252276e-10
0.0276152641477	6.25719369107e-10
0.0289960273551	6.39619855349e-10
0.0304458287229	6.6118667145e-10
0.031968120159	6.91608202907e-10
0.033566526167	7.32475176412e-10
0.0352448524753	7.85936214614e-10
0.0370070950991	8.54944647211e-10
0.038857449854	9.43674184833e-10
0.0408003223467	1.05826863018e-09
0.0428403384641	1.20829663066e-09
0.0449823553873	1.409788228e-09
0.0472314731566	1.69202982369e-09
0.0495930468145	2.11380020355e-09
0.0520726991552	2.80476678465e-09
0.0546763341129	4.07973541486e-09
0.0574101508186	6.81107352032e-09
0.0602806583595	1.44905461986e-08
0.0632946912775	8.12396478479e-08
0.0664594258414	2.27040613635
0.0697823971334	2.17658342821
0.0732715169901	5.0578077974e-08
0.0769350928396	9.84393505724e-09
0.0807818474816	3.56521353721e-09
0.0848209398557	1.90434199594e-09
0.0890619868485	1.20498619791e-09
0.0935150861909	8.22184207698e-10
0.0981908405004	5.76754645522e-10
0.103100382525	4.05274979569e-10
0.108255401652	2.8052843801e-10
0.113668171734	1.88141249542e-10
0.119351580321	1.19186427779e-10
0.125319159337	6.76553383178e-11
