frequency	# of variants
0.0002	2070.61973163
0.00021	0.0061105931072
0.0002205	0.00070709421133
0.000231525	0.000179230218953
0.00024310125	8.31684788565e-05
0.0002552563125	5.81093732768e-05
0.000268019128125	4.91160731787e-05
0.000281420084531	4.43109035083e-05
0.000295491088758	4.06313349314e-05
0.000310265643196	3.72679646356e-05
0.000325778925355	3.40461120351e-05
0.000342067871623	3.09640970642e-05
0.000359171265204	2.80544415412e-05
0.000377129828465	2.53445123886e-05
0.000395986319888	2.28485847139e-05
0.000415785635882	2.05692010859e-05
0.000436574917676	1.85005362367e-05
0.00045840366356	1.66315294018e-05
0.000481323846738	1.49482591854e-05
0.000505390039075	1.3435581533e-05
0.000530659541029	1.2078190839e-05
0.00055719251808	1.08612680073e-05
0.000585052143984	9.77084964103e-06
0.000614304751184	8.79401112004e-06
0.000645019988743	7.91893591182e-06
0.00067727098818	7.13491004534e-06
0.000711134537589	6.43227714348e-06
0.000746691264468	5.80236934536e-06
0.000784025827692	5.23742830932e-06
0.000823227119076	4.73052312831e-06
0.00086438847503	4.2754701114e-06
0.000907607898782	3.86675645985e-06
0.000952988293721	3.49946962836e-06
0.00100063770841	3.16923279506e-06
0.00105066959383	2.87214631383e-06
0.00110320307352	2.60473515426e-06
0.00115836322719	2.36390191112e-06
0.00121628138855	2.14688478507e-06
0.00127709545798	1.9512203389e-06
0.00134095023088	1.7747102803e-06
0.00140799774242	1.61539210786e-06
0.00147839762955	1.47151296258e-06
0.00155231751102	1.3415065244e-06
0.00162993338657	1.2239724602e-06
0.0017114300559	1.11765823324e-06
0.0017970015587	1.02144295364e-06
0.00188685163663	9.34323039277e-07
0.00198119421847	8.55399503184e-07
0.00208025392939	7.83866656423e-07
0.00218426662586	7.19002063487e-07
0.00229347995715	6.60157640671e-07
0.00240815395501	6.06751722517e-07
0.00252856165276	5.58262020094e-07
0.0026549897354	5.14219357212e-07
0.00278773922217	4.74202099386e-07
0.00292712618327	4.37831199913e-07
0.00307348249244	4.04765791712e-07
0.00322715661706	3.74699267248e-07
0.00338851444791	3.4735579404e-07
0.00355794017031	3.22487215801e-07
0.00373583717882	2.99870301093e-07
0.00392262903777	2.79304301904e-07
0.00411876048965	2.60608792018e-07
0.00432469851414	2.43621757925e-07
0.00454093343984	2.28197919289e-07
0.00476798011184	2.14207261686e-07
0.00500637911743	2.01533767837e-07
0.0052566980733	1.90074333266e-07
0.00551953297696	1.79737865194e-07
0.00579550962581	1.70444565409e-07
0.0060852851071	1.62125396099e-07
0.00638954936246	1.54721754791e-07
0.00670902683058	1.48185374789e-07
0.00704447817211	1.42478497999e-07
0.00739670208072	1.3757438213e-07
0.00776653718475	1.33458235291e-07
0.00815486404399	1.30128723006e-07
0.00856260724619	1.27600259161e-07
0.0089907376085	1.25906408401e-07
0.00944027448892	1.25104907969e-07
0.00991228821337	1.25285108567e-07
0.010407902624	1.26579140338e-07
0.0109282977552	1.29178977375e-07
0.011474712643	1.3336314909e-07
0.0120484482752	1.39539807203e-07
0.0126508706889	1.4831866819e-07
0.0132834142234	1.6063639875e-07
0.0139475849345	1.77986561636e-07
0.0146449641812	2.02868221179e-07
0.0153772123903	2.39730696595e-07
0.0161460730098	2.97165970631e-07
0.0169533766603	3.93688320185e-07
0.0178010454933	5.75902087224e-07
0.018691097768	9.92638973228e-07
0.0196256526564	2.35853034085e-06
0.0206069352892	7.99683129501
0.0216372820537	6.8180696839
0.0227191461564	2.85744532593e-06
0.0238551034642	6.75825896999e-07
0.0250478586374	3.25098283449e-07
0.0263002515693	1.62708417646e-07
0.0276152641477	9.77522554301e-08
0.0289960273551	6.29775597744e-08
0.0304458287229	4.27171110517e-08
0.031968120159	2.99758440286e-08
0.033566526167	2.16080307349e-08
0.0352448524753	1.59258861852e-08
0.0370070950991	1.19557274669e-08
0.038857449854	9.11159292032e-09
0.0408003223467	7.02908377813e-09
0.0428403384641	5.47491548869e-09
0.0449823553873	4.29565935373e-09
0.0472314731566	3.38784297672e-09
0.0495930468145	2.68006565182e-09
0.0520726991552	2.12203279879e-09
0.0546763341129	1.67766369159e-09
0.0574101508186	1.32065299363e-09
0.0602806583595	1.03154618839e-09
0.0632946912775	7.95771467849e-10
0.0664594258414	6.02289777477e-10
0.0697823971334	4.42652890776e-10
0.0732715169901	3.10336043952e-10
0.0769350928396	2.00258558021e-10
0.0807818474816	1.08435210224e-10
0.0848209398557	3.17198497147e-11
0.0890619868485	-3.23850459973e-11
0.0935150861909	-8.58710849273e-11
0.0981908405004	-1.30331693296e-10
0.103100382525	-1.6704386102e-10
0.108255401652	-1.97030252251e-10
0.113668171734	-2.21106098e-10
0.119351580321	-2.39913779185e-10
0.125319159337	-2.53946761356e-10
0.131585117304	-2.63563498595e-10
0.138164373169	-2.68991039509e-10
0.145072591828	-2.70317175744e-10
0.152326221419	-2.67468759832e-10
0.15994253249	-2.60171928906e-10
0.167939659114	-2.47886956144e-10
0.17633664207	-2.29705310952e-10
0.185153474174	-2.0418678607e-10
0.194411147882	-1.69094717751e-10
0.204131705276	-1.20944711009e-10
0.21433829054	-5.41848274054e-11
0.225055205067	4.04179870107e-11
0.236307965321	1.79291205972e-10
0.248123363587	3.94791279859e-10
0.260529531766	7.61357468853e-10
0.273556008354	1.50012478444e-09
0.287233808772	3.71063507598e-09
0.301595499211	0.907040634985
