frequency	# of variants
0.0002	1967.70176418
0.00021	0.0256791952543
0.0002205	0.00732464431849
0.000231525	0.0030711339304
0.00024310125	0.00168609077923
0.0002552563125	0.00109511264079
0.000268019128125	0.000786553959741
0.000281420084531	0.000600457222009
0.000295491088758	0.000476501585851
0.000310265643196	0.000388151885963
0.000325778925355	0.000322148502926
0.000342067871623	0.000271143573699
0.000359171265204	0.000230718658722
0.000377129828465	0.000198043158444
0.000395986319888	0.000171212782726
0.000415785635882	0.00014889644205
0.000436574917676	0.000130134791153
0.00045840366356	0.000114218770407
0.000481323846738	0.000100613041705
0.000505390039075	8.89059291087e-05
0.000530659541029	7.87757007477e-05
0.00055719251808	6.99672883214e-05
0.000585052143984	6.22758662011e-05
0.000614304751184	5.5535055625e-05
0.000645019988743	4.96083067484e-05
0.00067727098818	4.43825095322e-05
0.000711134537589	3.9763189313e-05
0.000746691264468	3.5670847261e-05
0.000784025827692	3.20381383253e-05
0.000823227119076	2.88076718708e-05
0.00086438847503	2.59302769626e-05
0.000907607898782	2.3363621923e-05
0.000952988293721	2.1071105355e-05
0.00100063770841	1.9020956924e-05
0.00105066959383	1.7185503124e-05
0.00110320307352	1.55405626682e-05
0.00115836322719	1.4064945529e-05
0.00121628138855	1.27400350855e-05
0.00127709545798	1.15494374797e-05
0.00134095023088	1.04786859383e-05
0.00140799774242	9.51499001854e-06
0.00147839762955	8.64702186731e-06
0.00155231751102	7.86473348567e-06
0.00162993338657	7.15919960878e-06
0.0017114300559	6.52248219734e-06
0.0017970015587	5.94751308783e-06
0.00188685163663	5.42799214431e-06
0.00198119421847	4.95829841457e-06
0.00208025392939	4.53341256289e-06
0.00218426662586	4.14884890477e-06
0.00229347995715	3.80059569526e-06
0.00240815395501	3.48506261543e-06
0.00252856165276	3.19903446033e-06
0.0026549897354	2.93963025217e-06
0.00278773922217	2.70426706836e-06
0.00292712618327	2.49062804519e-06
0.00307348249244	2.29663399948e-06
0.00322715661706	2.12041827556e-06
0.00338851444791	1.96030443001e-06
0.00355794017031	1.81478641415e-06
0.00373583717882	1.68251099095e-06
0.00392262903777	1.56226213118e-06
0.00411876048965	1.45294716537e-06
0.00432469851414	1.35358452002e-06
0.00454093343984	1.26329286075e-06
0.00476798011184	1.18128151316e-06
0.00500637911743	1.10684203865e-06
0.0052566980733	1.03934086814e-06
0.00551953297696	9.78212916211e-07
0.00579550962581	9.22956113799e-07
0.0060852851071	8.73126832163e-07
0.00638954936246	8.28336175995e-07
0.00670902683058	7.88247173146e-07
0.00704447817211	7.52572909629e-07
0.00739670208072	7.21075723933e-07
0.00776653718475	6.93567622894e-07
0.00815486404399	6.69912202168e-07
0.00856260724619	6.5002847772e-07
0.0089907376085	6.33897276923e-07
0.00944027448892	6.21571190811e-07
0.00991228821337	6.1318968858e-07
0.010407902624	6.09002060803e-07
0.0109282977552	6.09402802833e-07
0.011474712643	6.14987891977e-07
0.0120484482752	6.26648486376e-07
0.0126508706889	6.45736956803e-07
0.0132834142234	6.74385766703e-07
0.0139475849345	7.16184162977e-07
0.0146449641812	7.77795832153e-07
0.0153772123903	8.73397712649e-07
0.0161460730098	1.03894299084e-06
0.0169533766603	1.38718976268e-06
0.0178010454933	2.37154299933e-06
0.018691097768	6.4075651094e-06
0.0196256526564	2.3979634149e-05
0.0206069352892	8.52260280967
0.0216372820537	6.34128055388
0.0227191461564	1.74787379323e-05
0.0238551034642	1.2982633543e-05
0.0250478586374	4.37909603152e-06
0.0263002515693	2.24121757137e-06
0.0276152641477	1.10088141027e-06
0.0289960273551	7.5017041173e-07
0.0304458287229	5.04460487869e-07
0.031968120159	3.3696091455e-07
0.033566526167	2.2845592431e-07
0.0352448524753	1.5887563399e-07
0.0370070950991	1.13595279391e-07
0.038857449854	8.33090119923e-08
0.0408003223467	6.24003586732e-08
0.0428403384641	4.75184496447e-08
0.0449823553873	3.66379934037e-08
0.0472314731566	2.85014975468e-08
0.0495930468145	2.2302083672e-08
0.0520726991552	1.75045029516e-08
0.0546763341129	1.37427400503e-08
0.0574101508186	1.07598550366e-08
0.0602806583595	8.37145995742e-09
0.0632946912775	6.442774506e-09
0.0664594258414	4.87374161192e-09
0.0697823971334	3.58909307005e-09
0.0732715169901	2.53155566761e-09
0.0769350928396	1.65710853504e-09
0.0807818474816	9.31614221116e-10
0.0848209398557	3.28389379806e-10
0.0890619868485	-1.73570435225e-10
0.0935150861909	-5.90903879686e-10
0.0981908405004	-9.36866386633e-10
0.103100382525	-1.22207369309e-09
0.108255401652	-1.45507073295e-09
0.113668171734	-1.64277148032e-09
0.119351580321	-1.79080113257e-09
0.125319159337	-1.90375921421e-09
0.131585117304	-1.9854090725e-09
0.138164373169	-2.03878769049e-09
0.145072591828	-2.0662243127e-09
0.152326221419	-2.0692592774e-09
0.15994253249	-2.04846157908e-09
0.167939659114	-2.00314647197e-09
0.17633664207	-1.93098447301e-09
0.185153474174	-1.82746505022e-09
0.194411147882	-1.68512842222e-09
0.204131705276	-1.49239672303e-09
0.21433829054	-1.23168751707e-09
0.225055205067	-8.76192922751e-10
0.236307965321	-3.84039656608e-10
0.248123363587	3.1311290459e-10
0.260529531766	1.33465603409e-09
0.273556008354	2.91178626223e-09
0.287233808772	5.56939672281e-09
0.301595499211	1.08558783144e-08
0.316675274171	2.64539878455e-08
0.33250903788	0.883027310953
