frequency	# of variants
0.0002	811.643291901
0.00021	0.000181160914259
0.0002205	0.000233566997728
0.000231525	0.000102829951671
0.00024310125	4.96712822684e-05
0.0002552563125	2.92037333863e-05
0.000268019128125	2.09305786282e-05
0.000281420084531	1.71249944175e-05
0.000295491088758	1.4931460727e-05
0.000310265643196	1.33166001955e-05
0.000325778925355	1.19271824329e-05
0.000342067871623	1.06576845018e-05
0.000359171265204	9.48622868428e-06
0.000377129828465	8.41388707851e-06
0.000395986319888	7.44393033923e-06
0.000415785635882	6.57614597825e-06
0.000436574917676	5.80644287717e-06
0.00045840366356	5.1279650813e-06
0.000481323846738	4.53235440075e-06
0.000505390039075	4.01074573125e-06
0.000530659541029	3.55443548541e-06
0.00055719251808	3.15527650719e-06
0.000585052143984	2.8058760967e-06
0.000614304751184	2.49966439044e-06
0.000645019988743	2.23088413098e-06
0.00067727098818	1.99453693764e-06
0.000711134537589	1.78630898342e-06
0.000746691264468	1.60249020454e-06
0.000784025827692	1.43989516063e-06
0.000823227119076	1.29578982078e-06
0.00086438847503	1.16782614291e-06
0.000907607898782	1.05398495802e-06
0.000952988293721	9.52526807714e-07
0.00100063770841	8.61950065467e-07
0.00105066959383	7.80955460873e-07
0.00110320307352	7.08416155381e-07
0.00115836322719	6.43352529223e-07
0.00121628138855	5.84910950146e-07
0.00127709545798	5.32345878582e-07
0.00134095023088	4.85004756129e-07
0.00140799774242	4.42315219527e-07
0.00147839762955	4.03774249197e-07
0.00155231751102	3.6893893895e-07
0.00162993338657	3.3741861368e-07
0.0017114300559	3.08868082231e-07
0.0017970015587	2.82981844149e-07
0.00188685163663	2.59489099935e-07
0.00198119421847	2.38149443876e-07
0.00208025392939	2.18749136202e-07
0.00218426662586	2.01097869695e-07
0.00229347995715	1.85025960115e-07
0.00240815395501	1.70381900705e-07
0.00252856165276	1.57030229595e-07
0.0026549897354	1.44849668793e-07
0.00278773922217	1.33731496993e-07
0.00292712618327	1.2357812612e-07
0.00307348249244	1.14301854067e-07
0.00322715661706	1.05823772031e-07
0.00338851444791	9.80728044697e-08
0.00355794017031	9.09848673185e-08
0.00373583717882	8.4502127226e-08
0.00392262903777	7.85723506952e-08
0.00411876048965	7.31483314373e-08
0.00432469851414	6.81873864342e-08
0.00454093343984	6.3650913044e-08
0.00476798011184	5.95039994576e-08
0.00500637911743	5.57150831823e-08
0.0052566980733	5.22556523254e-08
0.00551953297696	4.90999855538e-08
0.00579550962581	4.62249275827e-08
0.0060852851071	4.36096977178e-08
0.00638954936246	4.12357298063e-08
0.00670902683058	3.90865428901e-08
0.00704447817211	3.71476430089e-08
0.00739670208072	3.54064575923e-08
0.00776653718475	3.38523055337e-08
0.00815486404399	3.24764081163e-08
0.00856260724619	3.12719486471e-08
0.0089907376085	3.0234192377e-08
0.00944027448892	2.93606837666e-08
0.00991228821337	2.86515462115e-08
0.010407902624	2.81099207816e-08
0.0109282977552	2.77425990613e-08
0.011474712643	2.7560932703e-08
0.0120484482752	2.75821474482e-08
0.0126508706889	2.7831262498e-08
0.0132834142234	2.83439400643e-08
0.0139475849345	2.9170806366e-08
0.0146449641812	3.03841794282e-08
0.0153772123903	3.20888909213e-08
0.0161460730098	3.44404097968e-08
0.0169533766603	3.76767656213e-08
0.0178010454933	4.21785049763e-08
0.018691097768	4.85909971425e-08
0.0196256526564	5.81022245924e-08
0.0206069352892	7.31693476941e-08
0.0216372820537	9.98181154082e-08
0.0227191461564	1.57238556978e-07
0.0238551034642	3.40439160898e-07
0.0250478586374	2.04163975552e-06
0.0263002515693	8.31633891048
0.0276152641477	9.60881741667e-07
0.0289960273551	1.73262826364e-07
0.0304458287229	7.45918843591e-08
0.031968120159	4.7631315742e-08
0.033566526167	3.03844055263e-08
0.0352448524753	1.89739281922e-08
0.0370070950991	1.21676571493e-08
0.038857449854	8.2465345842e-09
0.0408003223467	5.91189971307e-09
0.0428403384641	4.41903412507e-09
0.0449823553873	3.38748742114e-09
0.0472314731566	2.62969478645e-09
0.0495930468145	2.05095355241e-09
0.0520726991552	1.59944950128e-09
0.0546763341129	1.24328054989e-09
0.0574101508186	9.60462989084e-10
0.0602806583595	7.34690785511e-10
0.0632946912775	5.53454148935e-10
0.0664594258414	4.07062214948e-10
0.0697823971334	2.88009592502e-10
0.0732715169901	1.90497038192e-10
0.0769350928396	1.10049063245e-10
0.0807818474816	4.32095148768e-11
0.0848209398557	-1.26962956841e-11
0.0890619868485	-5.97437573474e-11
0.0935150861909	-9.95458240009e-11
0.0981908405004	-1.33353765347e-10
0.103100382525	-1.62129359845e-10
0.108255401652	-1.86594409096e-10
0.113668171734	-2.07261870248e-10
0.119351580321	-2.24451482469e-10
0.125319159337	-2.38291684998e-10
0.131585117304	-2.4870938589e-10
0.138164373169	-2.5541087419e-10
0.145072591828	-2.57863145452e-10
0.152326221419	-2.5529903192e-10
0.15994253249	-2.46796552841e-10
0.167939659114	-2.31522640729e-10
0.17633664207	-2.09260345273e-10
0.185153474174	-1.81273071348e-10
0.194411147882	-1.512261804e-10
